image_name,relative_path,crime_class,stored_mode,color_type,mean_channel_difference,p95_channel_difference,max_channel_difference
A001-010.png,A001-010.png,UCF Image Dataset,RGBA,rgb,15.8444,38.0,87
A003-032.png,A003-032.png,UCF Image Dataset,RGBA,rgb,8.8328,16.0,56
A005-023.png,A005-023.png,UCF Image Dataset,RGBA,rgb,6.3315,15.0,46
A008-229.png,A008-229.png,UCF Image Dataset,RGBA,rgb,5.6288,13.0,40
A013-004.png,A013-004.png,UCF Image Dataset,RGBA,rgb,7.9258,25.0,69
A017-047.png,A017-047.png,UCF Image Dataset,RGBA,rgb,15.44,49.0,145
A018-056.png,A018-056.png,UCF Image Dataset,RGBA,rgb,8.1551,32.0,93
A023-033.png,A023-033.png,UCF Image Dataset,RGBA,rgb,13.4465,26.0,66
A024-034.png,A024-034.png,UCF Image Dataset,RGBA,rgb,15.229,37.0,158
A025-051.png,A025-051.png,UCF Image Dataset,RGBA,rgb,54.3947,121.0,174
A026-008.png,A026-008.png,UCF Image Dataset,RGBA,rgb,27.2516,46.0,75
A027-106.png,A027-106.png,UCF Image Dataset,RGBA,rgb,25.349,52.0,132
A031-024.png,A031-024.png,UCF Image Dataset,RGBA,rgb,13.4024,28.0,70
A033-052.png,A033-052.png,UCF Image Dataset,RGBA,rgb,10.2313,27.0,61
A035-116.png,A035-116.png,UCF Image Dataset,RGBA,rgb,30.8894,76.0,172
A037-005.png,A037-005.png,UCF Image Dataset,RGBA,rgb,10.5055,22.0,79
A040-126.png,A040-126.png,UCF Image Dataset,RGBA,rgb,8.2605,17.0,38
A042-459.png,A042-459.png,UCF Image Dataset,RGBA,rgb,19.7722,57.0,92
A045-215.png,A045-215.png,UCF Image Dataset,RGBA,rgb,15.2216,40.0,115
A048-135.png,A048-135.png,UCF Image Dataset,RGBA,rgb,22.4307,49.0,136
A049-021.png,A049-021.png,UCF Image Dataset,RGBA,rgb,14.9735,34.0,83
A050-200.png,A050-200.png,UCF Image Dataset,RGBA,rgb,15.7383,46.0,82
B001-047.png,B001-047.png,UCF Image Dataset,RGBA,rgb,15.7334,29.0,89
B004-045.png,B004-045.png,UCF Image Dataset,RGBA,rgb,9.0432,30.0,114
B005-051.png,B005-051.png,UCF Image Dataset,RGBA,rgb,21.187,55.0,147
B007-056.png,B007-056.png,UCF Image Dataset,RGBA,rgb,7.6389,14.0,70
B011-102.png,B011-102.png,UCF Image Dataset,RGBA,rgb,27.116,74.0,122
B015-017.png,B015-017.png,UCF Image Dataset,RGBA,rgb,9.5688,27.0,77
B017-110.png,B017-110.png,UCF Image Dataset,RGBA,rgb,11.9339,32.0,133
B021-354.png,B021-354.png,UCF Image Dataset,RGBA,rgb,11.8902,35.0,95
B022-045.png,B022-045.png,UCF Image Dataset,RGBA,rgb,10.2856,29.0,75
B023-048.png,B023-048.png,UCF Image Dataset,RGBA,rgb,18.1221,44.0,124
B025-024.png,B025-024.png,UCF Image Dataset,RGBA,rgb,6.3849,15.0,35
B026-215.png,B026-215.png,UCF Image Dataset,RGBA,rgb,8.0199,20.0,77
B028-034.png,B028-034.png,UCF Image Dataset,RGBA,rgb,11.138,25.0,99
B029-357.png,B029-357.png,UCF Image Dataset,RGBA,rgb,25.637,67.0,83
B031-053.png,B031-053.png,UCF Image Dataset,RGBA,rgb,14.9543,45.0,100
B032-047.png,B032-047.png,UCF Image Dataset,RGBA,rgb,26.2349,96.0,137
B035-247.png,B035-247.png,UCF Image Dataset,RGBA,rgb,12.8622,31.0,76
B037-012.png,B037-012.png,UCF Image Dataset,RGBA,rgb,9.5067,30.0,106
B039-500.png,B039-500.png,UCF Image Dataset,RGBA,rgb,21.518,70.0,166
B040-037.png,B040-037.png,UCF Image Dataset,RGBA,rgb,15.3464,34.0,148
B043-118.png,B043-118.png,UCF Image Dataset,RGBA,rgb,21.4686,57.0,133
B044-136.png,B044-136.png,UCF Image Dataset,RGBA,rgb,23.4946,48.0,183
B046-304.png,B046-304.png,UCF Image Dataset,RGBA,rgb,13.6334,30.0,99
B048-131.png,B048-131.png,UCF Image Dataset,RGBA,rgb,10.8363,30.0,96
B049-327.png,B049-327.png,UCF Image Dataset,RGBA,rgb,11.7406,39.0,55
C001-103.png,C001-103.png,UCF Image Dataset,RGBA,rgb,13.2962,46.0,159
C002-134.png,C002-134.png,UCF Image Dataset,RGBA,rgb,10.3847,28.0,44
C003-005.png,C003-005.png,UCF Image Dataset,RGBA,rgb,5.2927,8.0,14
C005-005.png,C005-005.png,UCF Image Dataset,RGBA,rgb,7.1784,18.0,29
C006-121.png,C006-121.png,UCF Image Dataset,RGBA,visual_grayscale,0.0,0.0,0
C007-209.png,C007-209.png,UCF Image Dataset,RGBA,rgb,24.2647,84.0,180
C008-011.png,C008-011.png,UCF Image Dataset,RGBA,visual_grayscale,1.915,3.0,6
C009-009.png,C009-009.png,UCF Image Dataset,RGBA,rgb,5.6499,19.0,35
C010-120.png,C010-120.png,UCF Image Dataset,RGBA,rgb,18.3173,43.0,124
C013-302.png,C013-302.png,UCF Image Dataset,RGBA,rgb,6.4767,16.0,89
C014-038.png,C014-038.png,UCF Image Dataset,RGBA,rgb,8.7737,17.0,48
C015-355.png,C015-355.png,UCF Image Dataset,RGBA,rgb,39.2266,81.0,94
C016-039.png,C016-039.png,UCF Image Dataset,RGBA,rgb,19.7839,45.0,129
C018-017.png,C018-017.png,UCF Image Dataset,RGBA,visual_grayscale,0.9697,4.0,7
C020-055.png,C020-055.png,UCF Image Dataset,RGBA,visual_grayscale,0.029,0.0,3
C021-038.png,C021-038.png,UCF Image Dataset,RGBA,rgb,12.8878,29.0,38
C022-159.png,C022-159.png,UCF Image Dataset,RGBA,rgb,12.5832,40.0,76
C023-016.png,C023-016.png,UCF Image Dataset,RGBA,rgb,6.5538,21.0,29
C025-040.png,C025-040.png,UCF Image Dataset,RGBA,rgb,7.6749,15.0,55
C027-105.png,C027-105.png,UCF Image Dataset,RGBA,rgb,13.8876,46.0,86
C028-106.png,C028-106.png,UCF Image Dataset,RGBA,rgb,6.6415,19.0,127
C029-029.png,C029-029.png,UCF Image Dataset,RGBA,rgb,17.416,51.0,113
C030-033.png,C030-033.png,UCF Image Dataset,RGBA,rgb,6.0461,23.0,79
C031-041.png,C031-041.png,UCF Image Dataset,RGBA,visual_grayscale,0.5133,3.0,4
C032-006.png,C032-006.png,UCF Image Dataset,RGBA,rgb,10.1114,18.0,30
C038-004.png,C038-004.png,UCF Image Dataset,RGBA,rgb,8.1003,29.0,47
C042-301.png,C042-301.png,UCF Image Dataset,RGBA,visual_grayscale,0.951,3.0,8
C044-034.png,C044-034.png,UCF Image Dataset,RGBA,visual_grayscale,0.5046,3.0,6
C049-005.png,C049-005.png,UCF Image Dataset,RGBA,rgb,10.6527,32.0,81
C051-022.png,C051-022.png,UCF Image Dataset,RGBA,rgb,28.2621,97.0,148
C052-041.png,C052-041.png,UCF Image Dataset,RGBA,rgb,18.3133,38.0,51
D001-049.png,D001-049.png,UCF Image Dataset,RGBA,rgb,13.3396,41.0,95
D002-128.png,D002-128.png,UCF Image Dataset,RGBA,visual_grayscale,0.0232,0.0,5
D004-015.png,D004-015.png,UCF Image Dataset,RGBA,rgb,22.0704,62.0,132
D006-331.png,D006-331.png,UCF Image Dataset,RGBA,visual_grayscale,0.0,0.0,0
D007-030.png,D007-030.png,UCF Image Dataset,RGBA,rgb,10.5511,21.0,64
D009-033.png,D009-033.png,UCF Image Dataset,RGBA,rgb,16.6744,45.0,115
D010-142.png,D010-142.png,UCF Image Dataset,RGBA,rgb,11.6989,32.0,66
D012-025.png,D012-025.png,UCF Image Dataset,RGBA,rgb,10.4535,27.0,162
D013-029.png,D013-029.png,UCF Image Dataset,RGBA,rgb,36.1821,89.0,140
